,id,retweet_count,favorite_count
0,892420643555336193,8590,38805
1,892177421306343426,6312,33246
2,891815181378084864,4191,25041
3,891689557279858688,8708,42182
4,891327558926688256,9475,40341
5,891087950875897856,3135,20230
6,890971913173991426,2088,11863
7,890729181411237888,19041,65547
8,890609185150312448,4298,27778
9,890240255349198849,7473,31953
10,890006608113172480,7393,30665
11,889880896479866881,5006,27798
12,889665388333682689,10139,48138
13,889638837579907072,4578,27181
14,889531135344209921,2253,15100
15,889278841981685760,5473,25314
16,888917238123831296,4527,29094
17,888804989199671297,4380,25597
18,888554962724278272,3610,19918
19,888078434458587136,3523,21761
20,887705289381826560,5436,30205
21,887517139158093824,11749,46243
22,887473957103951883,18376,69153
23,887343217045368832,10482,33700
24,887101392804085760,6003,30551
25,886983233522544640,7828,35164
26,886736880519319552,3322,12082
27,886680336477933568,4504,22441
28,886366144734445568,3219,21207
29,886267009285017600,4,116
30,886258384151887873,6335,27997
31,886054160059072513,104,0
32,885984800019947520,6864,32717
33,885528943205470208,6486,36015
34,885518971528720385,3786,20428
35,885311592912609280,18719,0
36,885167619883638784,4414,21956
37,884925521741709313,18593,77552
38,884876753390489601,5834,27952
39,884562892145688576,4906,24308
40,884441805382717440,5697,26994
41,884247878851493888,20609,73064
42,884162670584377345,3010,20396
43,883838122936631299,3476,21914
44,883482846933004288,10042,45986
45,883360690899218434,3712,22570
46,883117836046086144,6730,37241
47,882992080364220416,3955,23962
48,882762694511734784,4964,28333
49,882627270321602560,6148,27903
50,882268110199369728,11710,45004
51,882045870035918850,5032,29374
52,881906580714921986,3424,24308
53,881666595344535552,10775,50587
54,881633300179243008,7,128
55,881536004380872706,16136,49483
56,881268444196462592,5201,23084
57,880935762899988482,2801,17011
58,880872448815771648,3857,21315
59,880465832366813184,6350,28547
60,880221127280381952,4273,27099
61,880095782870896641,4401,27649
62,879862464715927552,3531,22320
63,879674319642796034,10,313
64,879492040517615616,3218,23426
65,879415818425184262,44614,105989
66,879376492567855104,3151,16785
67,879130579576475649,6916,0
68,879050749262655488,4767,22618
69,879008229531029506,2722,18978
70,878776093423087618,4166,19383
71,878604707211726852,7321,30320
72,878404777348136964,1309,0
73,878316110768087041,6725,0
74,878281511006478336,1309,7762
75,878057613040115712,6916,42093
76,877736472329191424,19384,79986
77,877611172832227328,81,0
78,877556246731214848,3870,22788
79,877316821321428993,5233,27391
80,877201837425926144,5666,27184
81,876838120628539392,3408,20706
82,876537666061221889,4665,23474
83,876484053909872640,2433,18801
84,876120275196170240,4754,27973
85,875747767867523072,4354,25251
86,875144289856114688,4991,21963
87,875097192612077568,6123,27477
88,875021211251597312,4781,25539
89,874680097055178752,4709,27917
90,874434818259525634,14977,0
91,874296783580663808,4178,26133
92,874057562936811520,4014,22720
93,874012996292530176,10631,34802
94,873580283840344065,4013,24345
95,873337748698140672,1613,0
96,873213775632977920,1613,7291
97,872967104147763200,5496,27501
98,872820683541237760,3760,14780
99,872668790621863937,28,0
100,872620804844003328,3773,20886
101,872486979161796608,9176,40900
102,872261713294495745,6452,34428
103,872122724285648897,8283,34651
104,871879754684805121,11447,38280
105,871762521631449091,3546,20385
106,871515927908634625,3524,20349
107,871166179821445120,5809,0
108,871102520638267392,5606,21060
109,871032628920680449,3886,22824
110,870804317367881728,6362,33900
111,870726314365509632,3,120
112,870656317836468226,2708,12543
113,870374049280663552,26874,83409
114,870308999962521604,4255,22013
115,870063196459192321,8569,37025
116,869772420881756160,10313,42838
117,869702957897576449,6496,28559
118,869596645499047938,3218,16163
119,869227993411051520,3900,20665
120,868880397819494401,14933,66453
121,868639477480148993,2159,0
122,868622495443632128,5935,27591
123,868552278524837888,2159,10305
124,867900495410671616,4298,24498
125,867774946302451713,7549,34476
126,867421006826221569,2593,16395
127,867072653475098625,131,0
128,867051520902168576,8135,32767
129,866720684873056260,4989,20434
130,866686824827068416,3607,19675
131,866450705531457537,36443,124429
132,866334964761202691,14977,53548
133,866094527597207552,8671,0
134,865718153858494464,5802,26068
135,865359393868664832,5182,26984
136,865006731092295680,7944,28536
137,864873206498414592,9042,32949
138,864279568663928832,3160,14912
139,864197398364647424,9292,30813
140,863907417377173506,4298,21047
141,863553081350529029,4339,15604
142,863471782782697472,2575,0
143,863432100342583297,5481,24315
144,863427515083354112,101,2312
145,863079547188785154,1145,8956
146,863062471531167744,2575,8732
147,862831371563274240,5284,19616
148,862722525377298433,3685,17470
149,862457590147678208,5173,21031
150,862096992088072192,24299,76388
151,861383897657036800,11153,36934
152,861288531465048066,4344,17616
153,861005113778896900,3979,17144
154,860981674716409858,2256,0
155,860924035999428608,854,0
156,860563773140209665,2256,7701
157,860524505164394496,5514,24218
158,860276583193509888,3630,18773
159,860184849394610176,6111,17126
160,860177593139703809,32347,0
161,859924526012018688,4290,20042
162,859851578198683649,3664,15808
163,859607811541651456,1649,19093
164,859196978902773760,31726,92453
165,859074603037188101,14267,34864
166,858860390427611136,8533,0
167,858843525470990336,3645,15987
168,858471635011153920,5085,22143
169,858107933456039936,3055,16197
170,857989990357356544,2715,16594
171,857746408056729600,11153,35299
172,857393404942143489,1718,6103
173,857263160327368704,4767,20629
174,857214891891077121,20,236
175,857062103051644929,179,0
176,857029823797047296,4216,19518
177,856602993587888130,11287,0
178,856543823941562368,3040,16809
179,856526610513747968,1987,12207
180,856330835276025856,714,0
181,856288084350160898,17,533
182,856282028240666624,6673,28582
183,855862651834028034,28,360
184,855860136149123072,1097,5131
185,855857698524602368,2241,12231
186,855851453814013952,18699,46965
187,855818117272018944,5766,27520
188,855459453768019968,8725,31026
189,855245323840757760,6338,0
190,855138241867124737,49,0
191,854732716440526848,6490,23706
192,854482394044301312,7325,30459
193,854365224396361728,4996,19642
194,854120357044912130,7980,33210
195,854010172552949760,3347,16834
196,853760880890318849,6191,29787
197,853639147608842240,10853,36400
198,853299958564483072,3809,16201
199,852936405516943360,2167,0
200,852912242202992640,1972,9445
201,852672615818899456,2304,15603
202,852553447878664193,3761,17117
203,852311364735569921,10616,34670
204,852226086759018497,7325,20927
205,852189679701164033,1694,11987
206,851953902622658560,10367,0
207,851861385021730816,23,0
208,851591660324737024,3720,16981
209,851464819735769094,7602,25427
210,851224888060895234,6162,21681
211,850753642995093505,10017,32603
212,850380195714523136,2812,13707
213,850333567704068097,360,3587
214,850145622816686080,4122,17160
215,850019790995546112,5287,21513
216,849776966551130114,8211,32045
217,849668094696017920,5361,0
218,849412302885593088,3385,16702
219,849336543269576704,2044,12035
220,849051919805034497,9218,44703
221,848690551926992896,4673,26556
222,848324959059550208,4972,26102
223,848213670039564288,809,8620
224,848212111729840128,3335,17249
225,847978865427394560,3530,0
226,847971574464610304,465,0
227,847962785489326080,5546,24782
228,847842811428974592,1463,5796
229,847617282490613760,456,7405
230,847606175596138505,3668,19795
231,847251039262605312,4649,21571
232,847157206088847362,6353,21109
233,847116187444137987,3459,22638
234,846874817362120707,4264,21236
235,846514051647705089,12615,47284
236,846505985330044928,3364,14971
237,846153765933735936,9851,33595
238,846139713627017216,10689,32636
239,846042936437604353,3135,16921
240,845812042753855489,9517,31029
241,845677943972139009,5203,26596
242,845397057150107648,1986,8083
243,845306882940190720,5866,24723
244,845098359547420673,8372,0
245,844979544864018432,2823,14457
246,844973813909606400,3503,16044
247,844704788403113984,11287,41101
248,844580511645339650,3422,17476
249,844223788422217728,2390,14455
250,843981021012017153,3185,16019
251,843856843873095681,5046,22716
252,843604394117681152,2989,17924
253,843235543001513987,6612,22831
254,842846295480000512,3911,16152
255,842765311967449089,1398,7167
256,842535590457499648,3820,19220
257,842163532590374912,6338,26051
258,842115215311396866,3303,14906
259,841833993020538882,16861,0
260,841680585030541313,8480,27257
261,841439858740625411,4023,13444
262,841320156043304961,5935,21013
263,841314665196081154,5151,16923
264,841077006473256960,5809,24405
265,840761248237133825,1926,0
266,840728873075638272,17786,0
267,840698636975636481,3,192
268,840696689258311684,1082,13113
269,840632337062862849,1926,9575
270,840370681858686976,5005,17550
271,840268004936019968,6289,20547
272,839990271299457024,2523,14322
273,839549326359670784,8533,29368
274,839290600511926273,155,0
275,839239871831150596,7195,29028
276,838952994649550848,4377,20944
277,838921590096166913,2282,11928
278,838916489579200512,37,0
279,838831947270979586,12186,0
280,838561493054533637,1460,11648
281,838476387338051585,5301,24160
282,838201503651401729,11133,0
283,838150277551247360,358,1793
284,838085839343206401,0,148
285,838083903487373313,3463,18826
286,837820167694528512,8671,36541
287,837482249356513284,487,4109
288,837471256429613056,2546,13694
289,837366284874571778,5828,22588
290,837110210464448512,2640,17111
291,836989968035819520,2530,13614
292,836753516572119041,5083,20575
293,836677758902222849,2448,13484
294,836648853927522308,607,0
295,836397794269200385,30404,0
296,836380477523124226,3239,15739
297,836260088725786625,4725,22719
298,836001077879255040,4745,20462
299,835685285446955009,9032,0
300,835574547218894849,4001,19055
301,835536468978302976,1876,0
302,835309094223372289,23231,0
303,835297930240217089,3299,17536
304,835264098648616962,1876,8315
305,835246439529840640,81,2232
306,835172783151792128,6343,27970
307,835152434251116546,3342,24065
308,834931633769889797,1822,11603
309,834786237630337024,6024,22604
310,834574053763584002,2805,14694
311,834477809192075265,11788,0
312,834458053273591808,1849,10289
313,834209720923721728,5296,22094
314,834167344700198914,4011,16873
315,834089966724603904,2353,10770
316,834086379323871233,2448,13989
317,833863086058651648,2659,14366
318,833826103416520705,3799,16439
319,833732339549220864,241,0
320,833722901757046785,3540,22159
321,833479644947025920,2282,15950
322,833124694597443584,5361,21678
323,832998151111966721,2452,14279
324,832769181346996225,42,0
325,832757312314028032,4009,18048
326,832682457690300417,3261,12742
327,832645525019123713,576,3135
328,832636094638288896,3099,17020
329,832397543355072512,2470,12841
330,832369877331693569,3530,18407
331,832273440279240704,2587,12136
332,832215909146226688,6856,0
333,832215726631055365,10378,0
334,832088576586297345,2,72
335,832040443403784192,10787,0
336,832032802820481025,5170,19202
337,831939777352105988,6817,25795
338,831926988323639298,36,366
339,831911600680497154,7236,29716
340,831670449226514432,2011,11222
341,831650051525054464,2167,7725
342,831552930092285952,2553,9687
343,831322785565769729,1691,9853
344,831315979191906304,1233,6988
345,831309418084069378,2704,12574
346,831262627380748289,2278,12807
347,830956169170665475,1670,8574
